0	8	40	50	90	100	110	111	245	246	300	500	505	600	610	650	700	710	711
01275cam a2200397Ii 4500	160208t20162016ne\a\\\\\b\\\\000\0\eng\d	SDBengrdaSDBOCLCOYDXCPMUUOCLCOOCLCFOCLCOCDXYDX	GN307.7.G84 2016		"Gullion, Jessica Smartt,1972-author."			Writing ethnography /Jessica Smartt Gullion.		"xv, 153 pages :illustrations ;24 cm."					Ethnology--Authorship.;Communication in ethnology.			
01864cam a2200325Ia 4500	120913s2013\\\\enka\\\\\b\\\\001\0\eng\d	YDXCPengYDXCPOCLCOBTCTAUKMGBOCLCQERASABDXEUWCDXYNKNLEUATOCLCFCLEVVCOCLCOVRCNYWWBSWWCDNOCLCNGULNZAUC	NA2543.S6W524 2013		"Williams, Richard J.,1967-"			Sex and buildings :modern architecture and the sexual revolution /Richard J. Williams.		224 p. :ill. ;22 cm.		The care of the body -- Inside the orgone accumulator -- Communal living -- Phallic towers and Mad Men -- Pornomodernism -- The hotel -- What would a feminist city look like? -- Queer and other spaces.			"Architecture and society--History--20th century.;Architecture, Modern--20th century--Case studies.;Sexual ethics--History--20th century."			
03662cam a2200361Ii 4500	150704s2015\\\\enkab\\\\b\\\\000\0\eng\d	BTCTAengrdaBTCTAYDXCPCDXINUOCLCOCHVBKOCLCOOCLCFOCLCOUNBCA	JZ1318.S723 2015					"States and citizens :accommodation, facilitation and resistance to globalization /edited by Jon Shefner, Department of Sociology, University of Tennessee, Knoxville, TN, USA."		"xi, 285 pages :illustrations, maps ;24 cm."		"Introduction : mid-level theorizing on macro structures : globalization, states, and citizen action / Jon Shefner -- Fostering consent in a post-Fordist regime : the case of industrial maize farming in Turkey / Yetkin Borlu, Leland Glenna -- Pharmaceutical autonomy : technology, alliances, and norms / Matthew B. Flynn -- Palm oil expansion in Indonesia : land grabbing as accumulation by dispossession / Paul K. Gellert -- Situating the green economy : discourses, cooptation, and state change / Jenna A. Lamphere, Jon Shefner -- The state in context : Latin America's new left and the legacies of the state / Aaron T. Rowland -- Racial neoliberalism in Costa Rican tourism : Blanqueamiento in the twenty-first century / Michelle Christian -- Contested landscapes : collaborations between displaced communities and international advocacy groups in Guatemala / Eliza Guyol-Meinrath -- Rural gentrification and growing regional tourism : new development in South Central Appalachia / Rhiannon A. Leebrick -- Globalization and the agrarian question : divergent development of two export-oriented farming communities / Rachel Soper -- Gently biting the hand that feeds : popular engagement with economic inequality after the great recession / Cory Blad."			Globalization--Social aspects.	"Shefner, Jon,1958-editor."		
03321cam a2200409 a 4500	101109s2010\\\\ne\ab\\\\b\\\\110\0deng\c	CGUengCGUIXAWAUCDXYDXCPFXGOSUUKMGBOCLCFOCLOCLCQ	NA1375.M66 2010					"Monuments, patrons, contexts :papers on Ottoman Europe presented to Machiel Kiel /edited by Maximilian Hartmuth and AysÌʹe Dilsiz."		"207 pages :illustrations, maps ;27 cm."	"""Proceedings of a symposium held on June 27, 2008, at the Netherlands Institute in Turkey on the occasion of Machiel Kiel's departure after a five-year sojourn in Istanbul""--Preface."	"Introduction : the man and his method /Maximilian Hartmuth --1.The early Ottoman Balkans revisited.An unkown fourteenth century sultanic mosque in the Macedonian city of Drama : the Y♯łldr♯łm BaÌ²yeziÌ²d CaÌ²miÊơ /Heath W. Lowry ;Legend and historicity : the Binbir Oklu Ahmed Baba Tekkesi and its founder /Mariya Kiprovska ;In search of vanished Ottoman monuments in the Balkans : MinnetogÌ⁶lu Mehmed Beg's complex in KonusÌʹ Hisar♯ł /Grigor Boykov --2.Voices and processes in periods of change.Towards a historical topography of the Ottoman and post-Ottoman Rhodopes : monuments, epigraphy, and a local stonecutter's notepad /Aziz Nazmi Shakir-Tash ;An Edirne scholar on Ottoman architecture and politics : the pilgrimage account of Abdurrahman Hibri /Suraiya Faroqhi ;The ""vakf"" of Moral♯ł BesÌʹir AgÌ⁶a in Argos /Hedda Reindl-Kiel ;Preliminary results from the survey of RumelikavagÌ⁶i Fort /Kemal K. EyuÌ⁸pgiller ;Ottoman construction materials and terminological change : remarks pertaining to bricks and roof tiles as apparent in the sources /IÌ⁷lknur AktugÌ⁶ Kolay --3.The Ottoman architectural heritage in the modern Balkans.The Ottoman architectural patrimony of Bulgaria revisited : infrastructure, intentionality, and the genesis and survival of monuments /Stephen Lewis ;Insufficiently oriental? An early episode in the study and preservation of the Ottoman architectural heritage in the Balkans /Maximilian Hartmuth ;Recovering the remnants of the Alaca Cami in FocÌ⁺a /Zeynep Ahunbay."			"Architecture, Ottoman--Balkan Peninsula--Congresses."	"Hartmuth, Maximilian.;Dilsiz, AysÌʹe.;Kiel, Machiel."		
01247cam a2200349Ii 4500	150415s2016\\\\nyu\\\\\\b\\\\001\0\eng\d	YDXCPengrdaYDXCPBTCTABDXOCLCQYDXOCLCOCUVOCLCFOCLCOOCLOCLCOCDX	QA76.9.A25S245 2016		"Sagers, Glen,author."			"Information technology security fundamentals /Glen Sagers, Illinois State University, Bryan Hosack, Equity Trust."		"xiv, 157 pages ;23 cm."					Computer security.;Data protection.;Information technology--Security measures.;Computer networks--Security measures.	"Hosack, Bryan,author."		
02612cam a2200421Ii 4500	151120t20152015be\acfh\\b\\\\100\0\eng\d	OHXengrdaOHXOCLCOCUDOCLCOOCLCFNUIPAUOCLCOZCUUABOCLOCLCOGBVCPOCLCO	PN682.I5F67 2015					Forms of individuality and literacy in the medieval and early modern periods /edited by Franz-Josef Arlinghaus.		"viii, 317 pages :illustrations (chiefly color), portraits, plates, and facsimiles (chiefly color) ;24 cm."	"""Based on papers given at a conference in Bielefeld in 2009""--Preface."				"Individuality in literature--Congresses.;Literature, Medieval--History and criticism--Congresses.;Literacy--History--To 1500--Congresses."	"Arlinghaus, Franz-Josef,1960-editor."		
02541cam a22003497i 4500	160808t20142014enka\\\\\b\\\\000\0\eng\d	YDXCPengrdaDLCYDXCPBTCTABDXERASACDXYNKOCLCFSINLBRCEWIMNZAUCVP@OCLCQ	N8217.F64E96 2014					Experimental eating /edited by Thomas Howells and Leanne Hayman.		190 pages :illustrations (chiefly color) ;23 cm		Origins --Preparation --Dinner --Leftovers --Essays.			Food in art.	"Howells, Thomas,editor.;Hayman, Leanne,editor."		
04217cam a2200577 i 4500	120907t20132013ctua\\\\\b\\\\001\0\eng\d	YDXCPengrdaDLCYDXCPBTCTABDXERASAUKMGBLNDCUDZXCOSUCDXOUNCHVBKGVACLEVP@DEBBGOCLCFOCLCONYWWBOCLCQNLGGCGBVCPOCLCQOCLOCLCQ	NA6233.N5S435 2013		"Lambert, Phyllis,author."			Building Seagram /Phyllis Lambert ; foreword by Barry Bergdoll.		"xiv, 306 pages :illustrations (some color) ;30 cm"		"Foreword / Barry Bergdoll -- Prologue. Unlikely convergences -- A site and an architect for Seagram -- Mies van der Rohe's Ur-Building -- Richard Pare : plaza studies, 2000 and 2010 -- Union of building and plaza in the urban landscape -- Light : Philip Johnson's Stimmung -- Architecture and art allied -- Ironies in public life of architecture : regulation and the modern metropolis -- Sustaining architectural culture -- Epilogue. Changing hands Appendixes. 1. Phyllis Lambert to Samuel Bronfman, June 28, 1954 ; 2. Seagram Plaza installations and Seagram Gallery exhibitions -- 3. Some conservation issues as remembered by Arvid Klein and Tom Stetz of Pasanella + Klein."	"Mies van der Rohe, Ludwig,--1886-1969.;Johnson, Philip,--1906-2005.;Bronfman, Samuel,--1891-1971.;Lambert, Phyllis."	"Seagram Building (New York, N.Y.)"	Skyscrapers--New York (State)--New York--Design and construction.;Modernism (Art)--New York (State)--New York.	"Bergdoll, Barry."		
02137cam a2200337Ii 4500	141017t20152015si\a\\\\\b\\\\000\0\eng\d	BTCTAengrdaBTCTABDXYDXCPUNAOCLCF	QD181.C1C22 2015					C²́⁶²́⁰ buckminsterfullerene :some inside stories /edited by Harry Kroto.		"xii, 183 pages :illustrations (some color) ;24 cm."		"Come in C²́⁶²́⁰¹́ð, after nearly 100 years your number is finally up -- Part A. Introduction / Harry Kroto -- Part B. History of ""the nozzle"" / Lennard Wharton -- Up the carbon path / David E.H. Jones -- In my time: scenes of scientific life (extract) / Sydney Leach -- Early days in the Rick Smalley lab / Michael A. Duncan -- Discovery of IRC+10216 / Eric Becklin -- The discovery of the fullerenes / Sean C. O'Brien -- How I conceived soccerball molecule C²́⁶²́⁰ / Eiji OÌ⁴sawa -- Partial translation of the book Aromaticity (in Japanese) / Zen-ichi Yoshida and Eiji OÌ⁴sawa -- The first stepwise chemical synthesis of C²́⁶²́⁰ / Lawrence T. Scott -- C²́⁶²́⁰, Arizona, Don Huffman, and other stories / Lowell D. Lamb -- A PhD student's account of the C²́⁶²́⁰ story / Jonathan Hare -- The C²́⁶²́⁰ buckminsterfullerene formation process: new revelations after 25 years / Paul Dunk -- Part C. References."			Buckminsterfullerene.;Fullerenes.;Carbon.	"Kroto, H. W.,editor."		
01810cam a2200349Ii 4500	160310t20152015gauabcf\\b\\\s000\0deng\d	ZHSengrdaZHSYDXCPBDXFXGBTCTACGUGYG	F294.T73B68 2015		"Bouwman, Robert Eldridge,author."			Traveler's Rest and the Tugaloo Crossroads /by Robert Eldridge Bouwman.		"xiv, 254 pages, [32] leaves of plates :illustrations, maps, portraits, plates ;23 cm"		"Location of the site -- Cherokee villages -- Tugaloo and the Cherokee frontier -- Jesse Walton: frontiersman and settler -- The Tugaloo neighborhood: 1790-1820 -- The early days of Traveler's Rest -- Taverns, travel, and Traveler's Rest -- Deveraux Jarrett's little empire -- Jarrett plantations in the 1850's -- The Vivil War on the Tugaloo -- Traveler's Rest during reconstruction -- Third-generation Jarretts and ""The old home place"" -- Mary Elizabeth Jarrett White and Jarrett Manor."					Georgia.Historic Preservation Section.	
