0	8	40	50	90	100	110	111	245	246	300	500	505	600	610	650	700	710	711
04724cam a22004097i 4500	160226t20152015ua\ab\\\\b\\\\001\0\eng\d	BTCTAengrdaBTCTADLCYDXCPBDXERASANLEOCLCFUW1NOCUABS3O	HV640.5.P36G73 2015		"Gren, Nina,1972-author."			Occupied lives :maintaining integrity in a Palestinian refugee camp in the West Bank /Nina Gren.		"xxiii, 225 pages :illustrations, maps ;24 cm"		"Introduction. Focus and purpose ; Being camp refugees under violent occupation ; Integrity and constrained agency ; Why a focus on everyday life? ; 'Normality' in a violent and prolonged refugee situation ; Social continuity : new homes and reestablished family lines ; A moral crisis on repeat ; Doing fieldwork in Dheisheh ; Overview of chapters -- Dheisheh as a social and political space. The order of things in Dheisheh ; The Bethlehem area ; The dynamica of lingering villages ; Earlier political affiliations and activism in Dheisheh ; Political disengagement at the time of fieldwork ; Concluding remarks -- Living with violence and insecurity. Experiencing ongoing crisis ; The presence of extraordinary deaths ; Extending the limits of normality ; Remaining patient and hopeful ; Negotiating trust ; Concluding remarks -- The making of new homes. To build a house is to make a life ; Imprisonment delaying life ; Children as normality, resistance, and recovery ; Reframing home to a political stage ; Getting by together ; Concluding remarks -- Reconstituting a moral order. A chain of catastrophic events ; The camp as a moral community ; Palextinian moral superiority and the immoral others ; Moral contamination ; A shaken political morality ; Concluding remarks -- Conclusion. Maintaing integrity in the face of violation ; Struggling against temporariness ; Having a life or being a true patriot? ; How may one remain a political subject? ; Existence and politics."		Duhayshah (Refugee camp)	"Refugees, Palestinian Arab--West Bank--Social conditions.;Refugee camps--West Bank.;Al-Aqsa Intifada, 2000-"			
02856cam a2200457Ii 4500	160223t20152015oru\\\\\\b\\\\000\0\eng\d	YDXCPengrdaYDXCPDLCBTCTAJETWIOOCLCFZCUCDXIULNZABT	BT734.2.F85 2015		"Fulkerson, Mary McClintock,1950-author."			"A body broken, a body betrayed :race, memory, and eucharist in white-dominant churches /Mary McClintock Fulkerson and Marcia W. Mount Shoop."	"Race, memory, and eucharist in white-dominant churches"	"xv, 90 pages ;22 cm"		"Race, memory, and Eucharist : an introduction --Eucharist as template : this is my body --The wound of colorblindness --Transforming memory --Re-membering Eucharist."			Race relations--Religious aspects--Christianity.;Lord's Supper.;Racism--United States.;Race relations--Moral and ethical aspects.;Memory--Religious aspects--Christianity.;Whites--Race identity.;Racism--Religious aspects--Christianity.	"Mount Shoop, Marcia W.,author."		
01900cam a2200445 i 4500	160709t20152015be\ab\\\\b\\\\011\0\eng\d	BTCTAengrdaBTCTADLCYDXCPERASAOHXDDOSFUOCLCFZCUCDXCHVBKOCLCOEYMCOO	DP44.N49 2015					New directions in early Medieval European archaeology :Spain and Italy compared: essays for Riccardo Francovich /edited by Sauro Gelichi & Richard Hodges.		"367 pages :illustrations, maps ;24 cm."			"Francovich, Riccardo,--1946-2007--MeÌ¹langes et hommages.--ram"		"Archaeology, Medieval--Spain--Congresses.;Archaeology, Medieval--Italy--Congresses."	"Gelichi, Sauro,editor.;Hodges, Richard,editor."		
01095cam a22003497i 4500	151019t20162016mauad\\e\b\\\\001\0\eng\d	CNCENengrdaLTSCADLCOCLCFCQUYDX	QA76.73.C153G68 2016		"Gottschling, Peter,author."			"Discovering modern C++ :an intensive course for scientists, engineers, and programmers /Peter Gottschling."	Discovering modern C plus plus	"xxv, 444 pages ;24 cm."					C++ (Computer program language)			
02010cam a2200433 i 4500	150425t20162015nyu\\\\\\\\\\\000\1\eng\d	FBPengrdaFBPDLCCGPYDXCPBTCTABDXIFJPCXCZACDXILCOCLCFINRHLNDPTXUPP	PS3613.C5575T46 2016		"McKeon, Belinda,1979-author."			Tender :a novel /Belinda McKeon.		405 pages ;25 cm	"""A Lee Boudreaux book."""	Awake (1997) -- Moonfoam and silver (1998) -- Romance -- Untitled -- Frieze (2012).			Gay men--Fiction.;Best friends--Fiction.;Friendship--Fiction.;Artists--Fiction.;College students--Fiction.;Interpersonal relations--Fiction.			
04274cam a2200505 i 4500	150803t20152015mbcad\\\\b\\\\000\0\eng\\	NLCengrdaNLCDLCYDXCPBTCTABDXCDXNOCUABZCUDCKOCLCO	E98.M44I53 2015					"Indigenous men and masculinities :legacies, identities, regeneration /edited by Robert Alexander Innes and Kim Anderson."		"319 pages :illustrations, chart ;23 cm."		"Introduction : who's walking with our brothers / Robert Alexander Innes and Kim Anderson -- Reconstructing indigenous masculine thought / Bob Antone -- Cutting to the roots of colonial masculinity / Scott L. Morgensen -- Complementary relationships : a review of indigenous gender studies / Leah Sneider -- Taxonomies of indigeneity : indigenous heterosexual patriarchal masculinity / Brendan Hokowhitu -- Material of masculinity : the 1832 and 1834 portraits of MatoÌ¹-ToÌ¹pe, Mandan chief / Kimberly Mino -- Indigenous masculinities explored through performance art in Kingston, Ontario / Erin Sutherland -- ""Tales of burning love"" : female masculinity in contemporary native literature / Lisa Tatonetti -- Oshki Ishkode, new fire / Niigaanwewidam James Sinclair -- Patriotic games : boundaries and masculinity in New Zealand sport / Phillip Borrell -- Social spaces of maleness : the role of street gangs in practising indigenous masculinities / Robert Henry -- Imprisonment and indigenous masculinity : contesting hegemonic masculinity in a toxic environment / Allison PicheÌ¹ -- DineÌ¹ masculinities, relationships, colonization, and regenerating an egalitarian way of life / Lloyd L. Lee -- ""The face of KuÌ⁴:"" a dialogue on Hawaiian warriorhood / Ty P. KaÌ⁴wika Tengan, with Thomas Ka'auwai Kaulukukui, Jr. and William Kahalepuna Richards, Jr. -- Strong men stories : a roundtable on indigenous masculinities / Sam McKegney, with Richard Van Camp, Warren Cariou, Gregory Scofield, and Daniel Heath Justice -- A conversation with crazy Indians / Sasha Sky -- ""To arrive speaking"" : voices from the Bidwewidam indigenous masculinities project / Kim Anderson, John Swift, and Robert Alexander Innes."			Indian men--Identity.;Indigenous men--Identity.;Indian men--Social conditions.;Indian men--Family relationships.;Masculinity--Social aspects.;Indigenous peoples--Kinship.	"Anderson, Kim,1964-editor,author.;Innes, Robert Alexander,editor,author."		
01783cam a2200409 i 4500	150909s2016\\\\enk\\\\\\\\\\\000\f\eng\c	YDXCPengrdaYDXCPNLEOCLCOOCLCFOCLCQNTEEYMIDUDGUCOOOCLZCUOCLVP@	PL992.26.K36S6613 2016		"Han, Kang,1970-author."			Human acts :a novel /Han Kang ; translated from the Korean and introduced by Deborah Smith.		224 pages ;22 cm	Originally published in Korean as [The Boy is Coming] by Changbi Publishers in 2014.;Translated from Korean.				Democratization--Korea (South)--History--20th century--Fiction.	"Smith, Deborah,1987-translator."		
01228cam a2200349Ii 4500	151023s2016\\\\enkb\\\\\b\\\\001\0\eng\d	NLEengrdaNLEOCLCOBDXBTCTAYDXCPCDXOCLCFWVUMUUOCLIUL	D632.5.I53W37 2016					War news in India :the Punjabi press during World War I /edited by Andrew Tait Jarboe.		"xiii, 232 pages :maps ;23 cm"	Translated from the Panjabi.				"World War, 1914-1918--Press coverage--India.;World War, 1914-1918--Journalism, Military--India.;World War, 1914-1918--India."	"Jarboe, Andrew Tait,editor."		
01032cam a2200313Ia 4500	141217s2014\\\\enka\\\\\b\\\\000\0\eng\d	YDXCPengYDXCPCDXOCLCOOCLCQUABOCLCFMEAUCGBVCPCHVBKS3OOCLCQ	BL2450.P69F67 2014		"Forshaw, Roger."			The role of the lector in ancient Egyptian society /Roger Forshaw.		"viii, 165 pages :illustrations ;30 cm."					Priests--Egypt--History.			
01887cam a2200373 i 4500	150202t20142014nyua\\\\\bc\\\000\0\eng\c	ZGMZGMengrdaOSUCOOZCUPMCNYPOCLCOYDXCPYUS	PN4882.5.S74 2014					"Speaking of people :Ebony, Jet and contemporary art /Lauren Haynes."		109 pages :illustrations (some color) ;27 cm	"Catalog of an exhibition held at The Studio Museum in Harlem, New York, November 13, 2014-March 8, 2015.;""This publication was edited at The Studio Museum in Harlem by Lauren Haynes.""-- Colophon."	"From Harlem to Hollywood / Lauren Haynes -- Ebony and Jet on our minds...in our homes...on the wall / Romi Crawford -- The negro bible / Hank Willis Thomas -- ""To mirror the happier side of negro life"" : Ebony and Jet in black cultural and print history / Siobhan Carter-David -- The world according to Jet, or, notes toward a notion of race-pride / Elizabeth Alexander -- Artists in the exhibition / Artists' curricula vitae -- Works in the exhibition."			African American art--20th century--Exhibitions.;African American periodicals--History--20th century.;African Americans in mass media--Exhibitions.	"Haynes, Lauren,editor."	"Studio Museum in Harlem,host institution."	
01296cam a22003857i 4500	150812t20152015enk\\\\\\b\\\\001\0\eng\d	YDXCPengrdaYDXCPDLCBTCTABDXCDXNGUNDDOCLCFIUL	PR478.F45I54 2015					Influence and inheritance in feminist English studies /edited by Emily J. Hogg and Clara Jones.		"viii, 96 pages ;23 cm."					Feminism and literature.;English literature--20th century--History and criticism.	"Hogg, Emily J.,editor.;Jones, Clara,editor."		
02590cam a2200421Ii 4500	160328t20162014kyuab\\\\b\\\\000\0\eng\d	IMDengrdaIMDIMDOCLCOHLSYDXCPBTCTACOOOCLCONYPOCLCFOCLCO	DS128.19.S95I57 2016					"Inside Israel's northern command :the Yom Kippur War on the Syrian border /edited by Brigadier General Dani Asher, IDF (Ret.)."		"701 pages :illustrations, maps ;25 cm"		"Part I: Preparation for war; Syria wants war -- Kachol Lavan (blue and white) alert -- Operational planning -- Preparations: regular service forces-air force-armored corps -- The final road to war -- Part II: From desperate holding to an offensive towards Damascus; Halting the Syrian attack -- The fall of the Hermon outpost -- Defensive: the morning of October 7 to the morning of October 8 -- The attempt to capture the Hermon on October 8 -- The Syrian army: from penetration to the depths of the Golan Heights to the delay in the Eastern defensive alignments -- The counterattack, October 8-10 -- The breakthrough into Syrian territory October 11-12 -- The breaktrhrough, the threat on Damascus, and the battles against the expeditionary forces -- Operation Kinuach (dessert) recapturing the Hermon -- Part III: Operating the command systems at war; The general staff branch -- Intelligence -- Artillery -- Field engineering -- Air force -- Logistics -- Ordnance -- Medical corps -- Military police -- Adjutant branch -- Signal control and communications -- Quantitative summary of the war on the Northern front."			"Israel-Arab War, 1973.;Israel-Arab War, 1973--Campaigns--Syria.;Israel-Arab War, 1973--Decision making."	"Asher, Daniel,Dr.,editor."		
01930cam a2200397 i 4500	151103t20162015nyub\\\\\\\\\\001\0\eng\\	DLCengrdaDLCYDXCPBTCTABDXTOHNYPCLEON8OCLCFLTSCAOCLCOOCL	JZ5595.A64 2016		"Andrews, John,1946-author."			The world in conflict :understanding the world's troublespots /John Andrews.		"xii, 307 pages :maps ;22 cm"	"""The Economist in Association with Profile Books Ltd. and PublicAffairs""--Title page verso.;Includes index."	"The reason why -- Middle East and north Africa : connected by Islam -- Africa : rich in resources, poor in governance -- The UK and Europe : bloodied past, complacent present, uncertain future -- The Americas : faith, drugs and revolution -- The United States : both superpower and vulnerable Goliath -- Asia : people and potential for both peace and war -- War without end?"			International relations.;World politics--21st century.;Conflict management.			
01300cam a22003494i 4500	120815t20132013enka\\\\\c\\\\000\0\eng\d	BTCTAengrdaBTCTAYDXCPYNKNDDBDXBWXOCLCQCHVBKVP@U3GUKMGBCDXERDOCLCOIULOCLCQNYWWBOCLCF	N6549.J336A4 2013		"Jacob, Luis,1971-"			Seeing and believing /Luis Jacob.		223 pages :chiefly color illustrations ;28 cm	"Catalog of three separate exhibitions by Luis Jacob at Fonderie Darling, Montreal in 2010; at the Museum of Contemporary Canadian Art, Toronto in 2011; and at the McCord Museum, Montreal in 2012."		"Jacob, Luis,--1971---Exhibitions."				Fonderie Darling (Gallery);Museum of Contemporary Canadian Art.;McCord Museum.	
02176cam a2200421Ia 4500	151023s2016\\\\enkabcj\\b\\\\001\0\eng\d	NLEengNLEOCLCOOCLCFYYPYDXCPOCLCOEQONDDUABBDXCGUOCLCQOCLCO	CS38.G4557 2016		"Gelles, Edward,Dr.,author."			The Jewish journey :a passage through European history /Edward Gelles.		"xx, 359 pages, 4 pages of plates :illustrations, genealogical tables, maps, portraits ;24 cm"			"Gelles, Edward,--Dr.--Family.;Gelles, Edward,--Dr.--Bibliography.;Gelles family.;Griffel family.;Walls family.;Lowe family."		Jews--Europe--Genealogy.;Genetic genealogy--Jews--Europe.			
02496cam a2200433Ii 4500	150825t20162016ne\a\\\\\b\\\\001\0\eng\d	EQOengrdaEQOOCLCOCAMOCLCOYDXCPERASABTCTAOCLCQOCLCAOCLCFOCLCOOHXZCUOCLZLMCDX	PL758.83.S25 2016		"Sakomura, Tomoko,author."			Poetry as image :the visual culture of waka in sixteenth-century Japan /by Tomoko Sakomura.		"xi, 260 pages :colour illustrations ;26 cm."					"Waka--History and criticism.;Waka--Illustrations.;Art and literature--Japan--History--16th century.;Japanese poetry--1185-1600--History and criticism.;Art, Japanese--Kamakura-Momoyama periods, 1185-1600."			
01541cam a2200409Ii 4500	150409t20162016ie\abce\\b\\\\001\0deng\d	NLEengrdaNLEOCLCOUABESUEQOYDXCPOCLCFOCLDEBBG	DA810.E75S74 2016		"Stewart, Margaret(Art historian),author."			"The architectural, landscape and constitutional plans of the Earl of Mar, 1700-32 /Margaret Stewart."		"xxx, 418 pages :illustrations (some colour), maps (some colour), portraits (chiefly color), plans (some colour) ;26 cm"			"Erskine, John,--1675-1732."		"Architecture--Great Britain--18th century.;Jacobites.;Jacobite Rebellion, 1715.;Metaphysics."			
03992cam a2200457 i 4500	150813t20162016oncab\\\\b\\\\001\0\eng\c	NLCengrdaNLCUNBCATOHBDXOCLCFVP@CDXLTSCAYDXCPCOOMT4ITOCLCOOCLOCLCOLANGCOCLCOCNCBE	E99.M47E57 2016		"Ens, Gerhard J.(Gerhard John),1954-,author."			From new peoples to new nations :aspects of MeÌ¹tis history and identity from the eighteenth to the twenty-first centuries /Gerhard J. Ens and Joe Sawchuk.		"xii, 687 pages :illustrations, maps ;24 cm."		"Race and nation : changing ethnological and historical constructions of hybridity -- Economic ethnogenesis : the fur trade and MeÌ¹tissage in the eighteenth and nineteenth centuries -- Fur trade wars, the Battle of Seven Oaks, and the idea of the MeÌ¹tis nation, 1811-1849 -- Louis Riel and the religion of MeÌ¹tis nationalism, 1869-1885 -- L'union Nationale MeÌ¹tisse Saint-Joseph, A.-H. TreÌ¹maudan, and the re-imagining of the MeÌ¹tis nation, 1910 to the 1930s -- The Manitoba Act and the creation of MeÌ¹tis status -- Extinguishing rights and inventing categories : MeÌ¹tis scrip as policy and self-ascription -- Indian treaty versus MeÌ¹tis scrip : the permeability of status categories and ethnicities -- The United States/Canada border and the bifurcation of the plains MeÌ¹tis 1870-1900 -- St. Paul des MeÌ¹tis colony, 1896-1909 : identity as pathology -- Political mobilization in Alberta and the MeÌ¹tis Population Betterment Act of 1938 -- The Liberals, the CCF, and the Metis of Saskatchewan, 1935-1964 -- Social science and the MeÌ¹tis, 1950-1970 -- A renewed political awareness, 1965-2000 -- Reformulated identities, 1965-2013 -- The MeÌ¹tis of Ontario -- Organizational politics, land claims, and the MeÌ¹tis of the Northwest Territories -- Ethnic symbolism : reinterpreting and recreating the past."			"MeÌ¹tis--Legal status, laws, etc.;MeÌ¹tis--Government relations.;MeÌ¹tis--Politics and government.;MeÌ¹tis--Ethnic identity.;Autonomy.;MeÌ¹tis--Social life and customs.;MeÌ¹tis--Social conditions."	"Sawchuk, Joe,1942-author."		
02154cam a2200385 i 4500	160628t20162016paua\\\\\b\\\\000\0\eng\d	YDXCPengrdaYDXCPDLCBTCTABDXCLECDXNGUCODYLSOCLCFGBVCP	JS361.P793 2016					Public pensions and city solvency /edited by Susan M. Wachter.		"viii, 105 pages :illustrations ;23 cm"		"Preface /Susan M. Wachter --Foreword /Richard Ravitch --Why city pension problems have not improved, and a roadmap forward /Joshua D. Rauh --The law and politics of municipal pensions /Amy B. Monahan --Erosion of the foundation of municipal finance /D. Roderick Kiewiet and Mathew D. McCubbins --Conclusion: a call for transparency /Robert Inman and Susan M. Wachter."			Municipal officials and employees--Pensions--United States.;Municipal finance--United States.;Municipal government--United States.	"Wachter, Susan M.,editor."		
03099cam a2200373Ii 4500	150715s2015\\\\enk\\\\\\b\\\\001\0\eng\d	ERASAengrdaERASAYDXCPBTCTANLEOCLCOCDXOCLCFOCLCOBDXINUOCLCQOCLCOEQOGZMCOOOCLGBVCPOCLCO	PR448.R45W45 2015		"Whitehouse, Tessa,author."			The textual culture of English Protestant dissent 1720-1800 /Tessa Whitehouse.		"xii, 250 pages ;22 cm"					"English literature--18th century--History and criticism.;Dissenters, Religious--England--History--18th century.;Religion and literature--England--History--18th century.;Protestantism and literature--History--18th century.;Dissenters, Religious, in literature."			
01247cam a2200349Ii 4500	150928t20152015enkab\\\\b\\\\000\0\eng\d	NOCengrdaNOCYDXCPCDXOCLCFUABDLCOCL	DF261.S68T45 2015		"Theodoropoulou-Polychroniadis, Zetta,author."			Sounion revisited :the sanctuaries of Poseidon and Athena at Sounion in Attica /Zetta Theodoropoulou-Polychroniadis.		"xii, 333 pages :illustrations (some color), maps ;30 cm"					Excavations (Archaeology)--Greece--SouÌ¹nio Cape.;Temples--Greece--SouÌ¹nio Cape--History.			
01178cam a2200337 i 4500	160330s2015\\\\enk\\\\\\b\\\\001\0\eng\d	YDXCPengrdaDLCYDXCPS3OZCUITDOCLCQ	UA853.A3G58 2015		"Giustozzi, Antonio,author."			The army of Afghanistan :a political history of a fragile institution /Antonio Giustozzi.		"x, 309 pages ;23 cm"				Afghanistan.--Afghan National Army--History.;Afghanistan.--Afghan National Army--Political activity.	Civil-military relations--Afghanistan--History.			
03100cam a2200445 i 4500	160314s2016\\\\enka\\\\\b\\\\001\0\eng\\	DLCengrdaDLCAU@YDXCPBTCTAUABOCLCFBDXCOOIULCHVBKOCLCOLVTOCLCO	JV412.C85 2016					"Cultures of decolonisation :transnational productions and practices, 1945-70 /edited by Ruth Craggs and Claire Wintle."		"xi, 274 pages :illustrations ;24 cm."		"Machine generated contents note: pt. I Decolonising metropolitan cultures? -- 1. Black America and the overthrow of the European colonial order: The tragic voice of Richard Wright / Bill Schwarz -- 2. Humanist modernism: Ralph Hotere and New Commonwealth Internationalism / Damian Skinner -- 3. Henry Swanzy, Sartre's zombie? Black Power and the transformation of the Caribbean Artists Movement / Rob Waters -- 4. Anxiety abroad: Austerity, abundance and race in post-war visual culture / David C. Wall -- pt. II Performing decolonisation -- 5. The peasant armed: Bengal, Vietnam and transnational solidarities in Utpal Dutt's Invincible Vietnam / Abin Chakraborty -- 6. Cultural heritage as performance: Re-enacting Angkorian grandeur in postcolonial Cambodia (1953 -- 70) / Michael Falser -- 7. I still don't have a country : The southern African settler diaspora after decolonisation / Jean Smith -- pt. III Decolonising expertise.;Note continued: 8. Managing the cultural past in the newly independent states of Mali and Ghana / Sophie Mew -- 9. More than tropical? Modern housing, expatriate practitioners and the Volta River Project in decolonising Ghana / Viviana D'Auria -- 10. Designing change: Coins and the creation of new national identities / Catherine Eagleton -- 11. What colonial legacy? The Dewan Bahasa dan Pustaka (House of Language) and Malaysia's cultural decolonisation / Rachel Leow."			Colonies--Administration--History.;Decolonization--History.;Decolonization in literature.	"Craggs, Ruth,editor.;Wintle, Claire,editor."		
04122cam a2200433Mi 4500	150713t20152015cc\abf\\\b\\\\001\0\eng\d	YDXCPengrdaYDXCPOCLCOBTCTASINLBPSCOCLCFOCLCOOCLOCLCOOCLCQ	Z448.B66 2015					"The book worlds of East Asia and Europe, 1450-1850 :connections and comparisons /edited by Joseph P. McDermott and Peter Burke."		"xiv, 342 pages, 4 unnumbered pages of plates :illustrations (some color), maps ;24 cm"		"1. Introduction / Joseph McDermott and Peter Burke -- 2. Bibliography, population, and statistics : a view from the west / David McKitterick -- 3. ""Noncommercial"" private publishing in late imperial China / Joseph McDermott -- 4. Distribution : the transmission of books in Europe and its colonies : contours, cautions, and global comparisons / James Raven -- 5. Empire of texts : book production, book distribution, and book culture in late imperial China / Cynthia Brokaw -- 6. The proliferation of reference books, 1450-1850 / Peter Burke, with Joseph McDermott -- 7. Books for women and women readers / Peter Kornicki -- 8. Epilogue / Joseph McDermott and Peter Burke -- East Asian and European book history : a short bibliographical essay."			Publishers and publishing--East Asia--History.;Publishers and publishing--Europe--History.;Printing--East Asia--History.;Printing--Europe--History.;Book industries and trade--East Asia--History.;Book industries and trade--Europe--History.;Books and reading--History--Cross-cultural studies.;Books and reading--East Asia--History.;Books and reading--Europe--History.	"McDermott, Joseph Peter,editor.;Burke, Peter,1937-editor."		
01132cam a2200349Ii 4500	130531t20132013nyua\\\\\6\\\\000\1\eng\d	YDXCPengrdaYDXCPBTCTAUKMGBORXZCUBDXCEFOCLCOOCLCQOSUOCLCFOCLCO	PN6727.T49I54 2013		"Thurber, Matthew,artist,author."			Infomaniacs /Matthew Thurber.		192 pages :illustrations ;27 cm	Chiefly illustrations.				"Internet--Social aspects--Comic books, strips, etc.;Psychiatrists--Comic books, strips, etc.;Bands (Music)--Comic books, strips, etc."			
01196cam a2200361 i 4500	160323t20152015ie\af\\\\b\\\\001\0beng\d	BTCTAengrdaBTCTADLCYDXCPEMUUABGBVCPOCLCFWVU	DA965.H85J64 2015					"John Hume :Irish peacemaker /SeaÌ¹n Farren & Denis Haughey, editors."		"223 pages, 16 pages of plates :illustrations ;24 cm"			"Hume, John,--1937-"		Politicians--Northern Ireland--Biography.	"Farren, Sean,editor.;Haughey, Denis,editor."		
03322cam a22005057i 4500	150417s2015\\\\enk\\\\\\b\\\\001\0\eng\d	ERASAengrdaERASADLCBTCTAYDXCPCDXNLEOCLCFKATS3OGZMCOOORUABFCHVBKBDXOCLL2UOCLCOOCLCA	BS635.3.K727 2015		"Kratz, Reinhard Gregor,1957-author."			"Historical and Biblical Israel :the history, tradition, and archives of Israel and Judah /by Reinhard G. Kratz ; translated by Paul Michael Kurtz."	Historical & Biblical Israel	"viii, 280 pages ;24 cm"	""" A revised and enlarged English version of a German book published by Mohr Siebeck, in 2013, entitled Historisches und biblisches Israel: Drei UÌ⁸berblicke zum Alten Testament""--Page v."	The Premises -- The Two Kingdoms -- The Two Provinces -- An Outline of Religious History -- The Premises -- Transformation into Biblical Tradition -- The Books of the Hebrew Bible -- A Sketch of Literary History -- The Locations of Literature -- Between Elephantine and Qumran -- Israel and Judaism.			Jews--History--To 70 A.D.			
01657cam a2200385 i 4500	150904t20162016mdu\\\\\\b\\\\001\0\eng\c	YDXCPengrdaYDXCPBTCTABDXOLCOCLCFOCLCQZQPEYMCODGWLDEBBGOCL	U264.5.I7S56 2016		"Simpson, Kumuda,author."			U.S. nuclear diplomacy with Iran :from the War on Terror to the Obama administration /Kumuda Simpson.	United States nuclear diplomacy with Iran	"xiv, 188 pages ;24 cm."		America and Iran during the Cold War -- The War on Terror and Iran's nuclear programme -- Policy confusion and regional instability -- President Obama and the enrichment issue -- Diplomacy and the Geneva process -- The future of Middle Eastern proliferation.			Nuclear weapons--Iran.;Nuclear nonproliferation--Iran.			
01757cam a22003977i 4500	160202s2016\\\\ii\ab\\\\b\\\\001\0\eng\d	DKAGEengrdaDLCDKAGEBTCTABDXYDXCPOCLCFOCLCQVVCOCLCOOCLCQ	HF3788.R65R35 2016		"RaÌ⁴jangurukkalÌĐ,author."			Rethinking classical Indo-Roman trade :political economy of eastern Mediterranean exchange relations /Rajan Gurukkal.		"xiii, 330 pages :1 illustration (black and white), maps (black and white) ;23 cm"		"Introduction: theoretical preliminaries and methodology -- Sources and historiography -- Eastern Mediterranean overseas exchanges -- Ports, marts, and ship technology in early South India -- Exchange relations in early peninsular India -- Polity, statecraft, and overseas exchange -- Afterword."						
03330cam a2200349Ii 4500	150715s2016\\\\enka\\\\\b\\\\001\0\eng\d	ERASAengrdaERASAYDXCPBDXBTCTACDXNLEOCLCOINUOCLCQOCLCOCOOOCLCFOCLCOCHVBKOCLCORCEVVC	PR468.E45P54 2016		"Piesse, Jude,author."			"British settler emigration in print, 1832-1877 /Jude Piesse."		"viii, 219 pages :illustrations ;22 cm"		"Motion, migration, and periodical form -- Dreaming across oceans: emigration and nation at Christmas -- Novels of serial settlement -- 'Openings without limit': feminist revisions of settler emigration -- Settler imgration in the radical press."			English literature--19th century--History and criticism.;Emigration and immigration in literature.;Imperialism in literature.			
01692cam a2200373Ii 4500	150202t20162016caua\\\\\b\\\\001\0\eng\d	YDXCPengrdaYDXCPBTCTAOCLCQBDXOCLCQVWMOCLCOABGVP@OCLCFOCLCONGUOBEOCLCONHMIBI	HQ1420.D55 2016		"Dicker, Rory Cooke,1969-author."			A history of U.S. feminisms /Rory Dicker.	History of United States feminisms	"xix, 188 pages :illustrations ;21 cm"		"Feminism's legacy -- First wave feminism : fighting for the vote -- Second wave feminism : seeking liberation and equality -- Third wave feminism : embracing contradiction -- Knowing our history, changing our future."			Feminism--United States--History.;Women's rights--United States--History.;Women--United States--History.			
02162cam a2200481 i 4500	150928t20162016onc\\\\\\b\\\\001\0\eng\\	NLMengrdaNLMNLCYDXCPBTCTABDXCDXLTSCACHVBKDLCOCLCQOCLCOSOS	HV675.T46 2015		"Tepperman, Lorne,author."			"Waiting to happen :the sociology of unexpected injuries /Lorne Tepperman, Nicole Meredith."		226 pages ;23 cm		Introduction: Death by horse kicks -- The social and economic costs of injury -- The patterning of home injuries -- The patterning of leisure injuries -- The patterning of traffic injuries -- The patterning of workplace injuries -- The debate about accident proneness -- Social factors that reduce risks of injury -- Prevention and harm reduction.			Wounds and injuries--Social aspects.;Wounds and injuries--Social aspects--Canada.;Accidents--Social aspects.;Public health.;Public safety.;Wounds and Injuries.;Socioeconomic Factors.;Risk Management.	"Meredith, Nicole,author."		
02424cam a2200421 i 4500	160325t20162016nyu\\\\\\b\\\\000\0\eng\d	YDXCPengrdaDLCYDXCPBTCTABDXAZZPTJTHJAIUOKCLEBAQOCLCFUABZCUOCLCOFLQEHHNDSIGAKSUOCLCQ	HQ1237.B382 2016		"Bates, Laura,active 2014,author."			Everyday sexism /Laura Bates.		406 pages ;18 cm	"""The project that inspired a worldwide movement""--Cover.;""A different version of this book was published in Great Britain in 2014 by Simon & Schuster UK, Ltd.""--Title page verso."	Everybody has a tipping point -- Silenced women: the invisible problem -- Women in politics -- Girls -- Young women learning -- Women in public spaces -- Women in the media -- Women in the workplace -- Motherhood -- Double discrimination -- What about the men? -- Women under threat -- People standing up -- A note on statistics -- Resources -- Acknowledgments.			Sexism.			
01875cam a2200301Ii 4500	160122t20162016enkb\\\\\b\\\\001\0\eng\d	ERASAengrdaERASAYDXCPOCLCOGZNOCLCFCOOCODBTCTABDX	HB2099.M56 2016					Migrations in medieval and early colonial India /edited by Vijaya Ramaswamy.		"xxxii, 291 pages :maps;23 cm"					"Migration, Internal--India--History."	"Vijaya Ramaswamy,editor."		
01396cam a22004097a 4500	150722t20152015flua\\\\\b\\\\001\0\eng\d	YDXCPengDLCYDXCPBTCTABDXINDCUSCDXOCLCFCOOOCLCQ	QA325.E92 2015		"Evans, Lawrence C.,1949-author."			"Measure theory and fine properties of functions /Lawrence C. Evans, Ronald F. Gariepy."		"xiv, 299 pages :illustrations ;24 cm."	"""A Chapman & Hall Book."""				Measure theory.;Functional analysis.	"Gariepy, Ronald F."		
